pit_tag_number,event,alanine_aminotransferase,albumin,alkaline_phosphatase,aspartate_aminotransferase,bilirubin,buffy_coat_thickness,c-reactive_protein,calcium,chloride,cholesterol,cortisol,creatine_phosphokinase,creatinine,globulin,glucose,glutamate_dehydrogenase,haematocrit,haemoglobin,haptoglobin,lymphocytes_abs,magnesium,monocytes_abs,neutrophils_abs,phosphate,potassium,prostaglandin_e2,sodium,thick_buffy_coat,total_protein,triglycerides,urea,white_blood_cell_count,temperature_celsius,satiation_ration,ratioAlbuminGlobulin,ratioNeutrophilslymphocytes,meanCorHaeCon,general_health_classification
900008800750381,5,7,20,27,445,0,2,0.58,3.82,137,12,328,17456,21,23,7.49,215.8,44,81,8.05,21,1.72,0,0.6,5.08,6.56,97.9,182,0,43,1.18,1.7,21.6,17,100,0.869565217391304,0.0285714285714286,18.4090909090909,1
900008800750400,5,3,15,13,266,0,1,1.69,2.82,137,6.9,79.4,276,20,21,5.73,144.9,44,103,14.73,16.5,1.23,0.4,0.7,3.83,4.4,78.1,168,0,36,1.04,0.5,17.6,17,60,0.714285714285714,0.0424242424242424,23.4090909090909,0
900008800750419,3,7,17,29,375,0,1,1.45,3.27,136,10,383,15267,21,25,6.49,73.2,39,,10.67,13.4,1.31,0,0.4,4.34,5.03,78.98,171,1,43,1.18,0.5,13.8,17,80,0.68,0.0298507462686567,,1
900008800750425,3,6,16,34,349,0,0,0.64,2.72,134,9.9,446,1882,12,21,4.87,74.6,37,,15.57,27.5,0.97,0,0.3,3.3,4.49,71.11,163,1,38,0.89,0.5,27.8,13,80,0.761904761904762,0.0109090909090909,,0
900008800750452,5,4,19,21,258,0,1,0.25,2.89,146,7.3,16.7,569,13,25,4.63,65.2,40,102,18.82,20.6,0.99,0.2,0.4,3.51,4.42,73,176,0,44,0.98,0.5,21.2,17,80,0.76,0.0194174757281553,25.5,0
900008800750472,3,10,19,31,411,0,0,2.32,3.09,133,11.8,419,1996,20,28,5.15,121.6,43.5,,14.48,24.4,1.15,0,0.2,4.94,4.54,74.18,175,1,46,1.22,0.6,24.6,13,100,0.678571428571429,0.00819672131147541,,1
900008800750473,5,34,18,23,704,0,2,,2.94,133,8.5,363,32876,15,23,5.61,106.5,33,118,,,1.16,,,3.5,5.73,70.2,162,0,40,1.17,3.1,,17,60,0.782608695652174,,35.7575757575758,0
900008800750490,3,3,17,31,238,0,1,1.76,2.58,131,9.4,247,3359,10,22,4.22,78,42,,20.54,23.8,0.97,0,0.2,2.97,3.3,65.85,159,1,39,1.35,0.6,24,17,60,0.772727272727273,0.00840336134453782,,1
900008800750500,5,19,15,16,338,0,1,0.95,2.62,136,7.1,191,10029,17,17,4.62,68.2,37,93,,24.8,1.03,0,0.3,2.62,4.25,62.9,161,0,32,0.75,1.4,25,17,60,0.882352941176471,0.0120967741935484,25.1351351351351,1
900008800750507,3,3,17,31,209,0,0,1.82,3.14,140,9.3,468,1362,12,22,6,101.6,46,,15.53,24.6,1.15,0,0.8,3.62,3.17,65.34,173,1,39,0.6,0.6,25.4,13,60,0.772727272727273,0.032520325203252,,0
900008800750516,5,2,17,20,201,0,1,2.12,3.22,142,4.8,316,855,16,25,4.51,56.2,36,93,9.93,24.4,1.14,0.2,0,3.86,5.83,69,175,0,42,1.07,0.8,24.6,17,80,0.68,0,25.8333333333333,0
900008800750596,3,5,14,32,273,0,1,1.56,2.9,138,8.2,385,3612,8,20,4.54,112.3,39,,98.13,18.8,0.94,0,0,3.41,3.4,61.78,169,1,35,0.92,0.6,18.8,13,80,0.7,0,,1
